id;en-US;de-DE
1;Bitterling;Bitterling
2;Pale Chub;Döbel
3;Crucian Carp;Karausche
4;Dace;Hasel
5;Carp;Karpfen
6;Koi;Koi-Karpfen
7;Goldfish;Goldfisch
8;Pop-eyed Goldfish;Teleskopauge
9;Ranchu Goldfish;Ranchu
10;Killifish;Killifisch
11;Crawfish;Flusskrebs
12;Soft-shelled Turtle;Weichschildkröte
13;Snapping Turtle;Schnappschildkröte
14;Tadpole;Kaulquappe
15;Frog;Frosch
16;Freshwater Goby;Flussgrundel
17;Loach;Bachschmerle
18;Catfish;Katzenwels
19;Giant Snakehead;Schlangenkopf
20;Bluegill;Sonnenbarsch
21;Yellow Perch;Flussbarsch
22;Black Bass;Barsch
23;Tilapia;Tilapia
24;Pike;Hecht
25;Pond Smelt;Stint
26;Sweetfish;Ayu
27;Cherry Salmon;Masulachs
28;Char;Saibling
29;Golden Trout;Goldforelle
30;Stringfish;Huchen
31;Salmon;Lachs
32;King Salmon;Königslachs
33;Mitten Crab;Wollhandkrabbe
34;Guppy;Guppy
35;Nibble Fish;Saugbarbe
36;Angelfish;Skalar
37;Betta;Kampffisch
38;Neon Tetra;Neonsalmler
39;Rainbowfish;Regenbogenfisch
40;Piranha;Piranha
41;Arowana;Arowana
42;Dorado;Lachssalmler
43;Gar;Knochenhecht
44;Arapaima;Arapaima
45;Saddled Bichir;Flösselhecht
46;Sturgeon;Stör
47;Sea Butterfly;See-Engel
48;Sea Horse;Seepferdchen
49;Clown Fish;Anemonenfisch
50;Surgeonfish;Paletten-Doktorfisch
51;Butterfly Fish;Falterfisch
52;Napoleonfish;Napoleonfisch
53;Zebra Turkeyfish;Rotfeuerfisch
54;Blowfish;Kugelfisch
55;Puffer Fish;Igelfisch
56;Anchovy;Sardelle
57;Horse Mackerel;Makrele
58;Barred Knifejaw;Schnabelbarsch
59;Sea Bass;Seebarsch
60;Red Snapper;Kaiserschnapper
61;Dab;Kliesche
62;Olive Flounder;Flunder
63;Squid;Kalmar
64;Moray Eel;Muräne
65;Ribbon Eel;Nasenmuräne
66;Tuna;Thunfisch
67;Blue Marlin;Marlin
68;Giant Trevally;Stachelmakrele
69;Mahi-mahi;Goldmakrele
70;Ocean Sunfish;Mondfisch
71;Ray;Rochen
72;Saw Shark;Sägehai
73;Hammerhead Shark;Hammerhai
74;Great White Shark;Hai
75;Whale Shark;Walhai
76;Suckerfish;Schiffshalter
77;Football Fish;Anglerfisch
78;Oarfish;Riemenfisch
79;Barreleye;Glaskopffisch
80;Coelacanth;Quastenflosser
